director_id,title,director,category,type,duration
d5999,An American Tail: Fievel Goes West,Simon Wells,Children & Family Movies,Movie,75 min
d6000,Balto,Simon Wells,"Children & Family Movies, Dramas",Movie,78 min
d6001,The Time Machine,Simon Wells,"Action & Adventure, Sci-Fi & Fantasy",Movie,96 min
d6002,Crocodile Dundee in Los Angeles,Simon Wincer,"Action & Adventure, Comedies",Movie,95 min
d6003,Free Willy,Simon Wincer,"Children & Family Movies, Dramas",Movie,112 min
d6004,Quigley Down Under,Simon Wincer,Action & Adventure,Movie,120 min
d6005,25 Kille,Simranjit Singh Hundal,"Action & Adventure, Dramas, International Movies",Movie,140 min
d6006,3 Türken & ein Baby,Sinan Akkuş,"Comedies, International Movies",Movie,93 min
d6007,The Forest of Love: Deep Cut,Sion Sono,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,1 Season
d6008,The Forest of Love,Sion Sono,"Dramas, International Movies, Thrillers",Movie,151 min
d6009,Beynelmilel,Sırrı Süreyya Önder,"Comedies, Dramas, International Movies",Movie,102 min
d6010,Deep,Sita Likitvanichkul,"Dramas, International Movies, Thrillers",Movie,101 min
d6011,Inhuman Kiss,Sittisiri Mongkolsiri,"Horror Movies, International Movies, Romantic Movies",Movie,122 min
d6012,"My Schoolmate, the Barbarian",Siu-hung Chung,"Action & Adventure, Comedies, International Movies",Movie,90 min
d6013,Sleepless Society: Two Pillows & A Lost Soul,Sivaroj Kongsakul,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,1 Season
d6014,Abducted in Plain Sight,Skye Borgman,Documentaries,Movie,90 min
d6015,Bhaji In Problem,Smeep Kang,"Comedies, International Movies",Movie,117 min
d6016,Lock,Smeep Kang,"Dramas, International Movies",Movie,90 min
d6017,The Bomb,Smriti Keshari,Documentaries,Movie,59 min
d6018,Bhangra Paa Le,Sneha Taurani,"Comedies, Dramas, International Movies",Movie,130 min
d6019,Lovesong,So Yong Kim,"Dramas, Independent Movies, Romantic Movies",Movie,84 min
d6020,The Bling Ring,Sofia Coppola,"Dramas, Independent Movies",Movie,91 min
d6021,A Very Murray Christmas,Sofia Coppola,"Comedies, Music & Musicals",Movie,57 min
d6022,The Beguiled,Sofia Coppola,"Dramas, Independent Movies, Thrillers",Movie,94 min
d6023,Into the Wind,Sofie Šustková,"Dramas, Independent Movies, International Movies",Movie,76 min
d6024,Hello Brother,Sohail Khan,"Action & Adventure, Comedies, International Movies",Movie,126 min
d6025,Ankur Arora Murder Case,Sohail Tatari,"Dramas, International Movies, Thrillers",Movie,127 min
d6026,Kaal,Soham Shah,"Horror Movies, International Movies, Thrillers",Movie,126 min
d6027,Phobia 2,Songyos Sugmakanan,"Horror Movies, International Movies",Movie,125 min
d6028,"Les Bleus - Une autre histoire de France, 1996-2016",Sonia Dauger,"Documentaries, International Movies, Sports Movies",Movie,103 min
d6029,National Bird,Sonia Kennebeck,Documentaries,Movie,92 min
d6030,Teach Us All,Sonia Lowman,Documentaries,Movie,81 min
d6031,Family Blood,Sonny Mallhi,Horror Movies,Movie,92 min
d6032,Tinker',Sonny Marler,"Dramas, Independent Movies, Sci-Fi & Fantasy",Movie,97 min
d6033,Yeh Ballet,Sooni Taraporevala,"Dramas, International Movies",Movie,117 min
d6034,Vivah,Sooraj R. Barjatya,"Dramas, International Movies, Romantic Movies",Movie,166 min
d6035,Maine Pyar Kiya,Sooraj R. Barjatya,"Dramas, International Movies, Music & Musicals",Movie,192 min
d6036,Hum Aapke Hain Koun,Sooraj R. Barjatya,"Classic Movies, Dramas, International Movies",Movie,193 min
d6037,Together For Eternity,Sooraj R. Barjatya,"Dramas, International Movies, Music & Musicals",Movie,176 min
d6038,Prem Ratan Dhan Payo,Sooraj R. Barjatya,"Action & Adventure, Dramas, International Movies",Movie,164 min
d6039,Hum Saath-Saath Hain,Sooraj R. Barjatya,"Dramas, International Movies, Music & Musicals",Movie,176 min
d6040,A Love Song for Latasha,Sophia Nahli Allison,Documentaries,Movie,20 min
d6041,My Beautiful Broken Brain,Sophie Robinson,"Documentaries, International Movies",Movie,84 min
d6042,Seeing Allred,Sophie Sartain,Documentaries,Movie,96 min
d6043,Laddaland,Sopon Sukdapisit,"Horror Movies, International Movies",Movie,112 min
d6044,To and From New York,Sorin Dan Mihalcescu,"Dramas, Independent Movies, Thrillers",Movie,81 min
d6045,The Day I lost My Shadow,Soudade Kaadan,"Dramas, Independent Movies, International Movies",Movie,91 min
d6046,Besieged Bread,Soudade Kaadan,"Dramas, International Movies",Movie,12 min
d6047,Aziza,Soudade Kaadan,"Comedies, Dramas, Independent Movies",Movie,13 min
d6048,Rainbow Jelly,Soukarya Ghosal,"Dramas, International Movies, Sci-Fi & Fantasy",Movie,119 min
d6049,Jamtara - Sabka Number Ayega,Soumendra Padhi,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,1 Season
d6050,Budhia Singh: Born to Run,Soumendra Padhi,"Dramas, Independent Movies, International Movies",Movie,95 min
d6051,Albert Pinto Ko Gussa Kyun Aata Hai?,Soumitra Ranade,"Dramas, Independent Movies, International Movies",Movie,85 min
d6052,Pioneers of African-American Cinema,Spencer Williams,TV Shows,TV Show,1 Season
d6053,Her,Spike Jonze,"Dramas, Romantic Movies, Sci-Fi & Fantasy",Movie,126 min
d6054,Aziz Ansari: RIGHT NOW,Spike Jonze,Stand-Up Comedy,Movie,65 min
d6055,School Daze,Spike Lee,"Comedies, Dramas",Movie,120 min
d6056,The Original Kings of Comedy,Spike Lee,Stand-Up Comedy,Movie,111 min
d6057,Da 5 Bloods,Spike Lee,"Action & Adventure, Dramas",Movie,156 min
d6058,Do the Right Thing,Spike Lee,"Classic Movies, Comedies, Dramas",Movie,120 min
d6059,Rodney King,Spike Lee,Dramas,Movie,53 min
d6060,Love You... Love You Not,Sridhar Jetty,"Comedies, International Movies, Romantic Movies",Movie,115 min
d6061,Breaking Free,Sridhar Rangayan,"Documentaries, International Movies, LGBTQ Movies",Movie,81 min
d6062,Evening Shadows,Sridhar Rangayan,"Dramas, Independent Movies, International Movies",Movie,102 min
d6063,Ray,Srijit Mukherji,"International TV Shows, TV Dramas, TV Mysteries",TV Show,1 Season
d6064,Ek Hasina Thi,Sriram Raghavan,"Dramas, International Movies, Thrillers",Movie,134 min
d6065,Andhadhun,Sriram Raghavan,"Comedies, Dramas, International Movies",Movie,137 min
d6066,Rakkhosh,Srivinay Salian,"Horror Movies, Independent Movies, International Movies",Movie,116 min
d6067,Hidden in Plain Sight,Stacia Crawford,"Dramas, Independent Movies, Thrillers",Movie,87 min
d6068,We Have Always Lived in the Castle,Stacie Passon,"Dramas, Thrillers",Movie,95 min
d6069,Concussion,Stacie Passon,"Dramas, Independent Movies, LGBTQ Movies",Movie,96 min
d6070,The Bye Bye Man,Stacy Title,"Horror Movies, Thrillers",Movie,96 min
d6071,Mo Amer: The Vagabond,Stan Lathan,Stand-Up Comedy,Movie,57 min
d6072,Dave Chappelle: Sticks & Stones,Stan Lathan,Stand-Up Comedy,Movie,66 min
d6073,Dave Chappelle,Stan Lathan,"Stand-Up Comedy & Talk Shows, TV Comedies",TV Show,1 Season
