director_id,title,director,category,type,duration
d1,Watchman,A. L. Vijay,"Comedies, Dramas, International Movies",Movie,93 min
d2,Abhinetri,A. L. Vijay,"Comedies, International Movies, Sci-Fi & Fantasy",Movie,131 min
d3,Asura Guru,A. Raajdheep,"Dramas, International Movies",Movie,117 min
d4,Salaakhen,A. Salaam,"Action & Adventure, International Movies, Music & Musicals",Movie,134 min
d5,Sarkar,A.R. Murugadoss,"Action & Adventure, Dramas, International Movies",Movie,162 min
d6,Spyder,A.R. Murugadoss,"Action & Adventure, International Movies",Movie,140 min
d7,Jaoon Kahan Bata Ae Dil,Aadish Keluskar,"Dramas, Independent Movies, International Movies",Movie,107 min
d8,Harud,Aamir Bashir,"Dramas, International Movies",Movie,100 min
d9,Taare Zameen Par,Aamir Khan,"Dramas, International Movies",Movie,162 min
d10,Tanu Weds Manu,Aanand Rai,"Comedies, Dramas, International Movies",Movie,114 min
d11,Madre,Aaron Burns,"International Movies, Thrillers",Movie,95 min
d12,Catwalk: Tales from the Cat Show Circuit,Aaron Hancox,"Documentaries, International Movies",Movie,75 min
d13,Circle,Aaron Hann,"Dramas, Independent Movies, Sci-Fi & Fantasy",Movie,86 min
d14,Bethany Hamilton: Unstoppable,Aaron Lieber,"Children & Family Movies, Documentaries, Sports Movies",Movie,100 min
d15,The Endless,Aaron Moorhead,"Independent Movies, Sci-Fi & Fantasy, Thrillers",Movie,112 min
d16,Synchronic,Aaron Moorhead,Thrillers,Movie,102 min
d17,Band of Robbers,Aaron Nee,"Action & Adventure, Comedies, Independent Movies",Movie,95 min
d18,The Trial of the Chicago 7,Aaron Sorkin,Dramas,Movie,130 min
d19,Molly's Game,Aaron Sorkin,Dramas,Movie,141 min
d20,Arctic Dogs,Aaron Woodley,"Children & Family Movies, Comedies",Movie,93 min
d21,To Be a Miss,Aaron Woolf,Documentaries,Movie,84 min
d22,Chal Dhar Pakad,Aatmaram Dharne,"Comedies, Dramas, International Movies",Movie,129 min
d23,The Lost Okoroshi,Abba T. Makama,"Comedies, Dramas, Independent Movies",Movie,94 min
d24,Green White Green (And All the Beautiful Colours in My Mosaic of Madness),Abba T. Makama,"Comedies, Independent Movies, International Movies",Movie,102 min
d25,Kis Kisko Pyaar Karoon,Abbas Alibhai Burmawalla,"Comedies, International Movies",Movie,132 min
d26,Race,Abbas Alibhai Burmawalla,"Action & Adventure, International Movies, Music & Musicals",Movie,155 min
d27,Players,Abbas Alibhai Burmawalla,"Action & Adventure, International Movies",Movie,162 min
d28,Aitraaz,Abbas Alibhai Burmawalla,"International Movies, Music & Musicals, Romantic Movies",Movie,153 min
d29,Race 2,Abbas Alibhai Burmawalla,"Action & Adventure, International Movies, Music & Musicals",Movie,139 min
d30,Soldier,Abbas Mustan,"Comedies, Dramas, International Movies",Movie,155 min
d31,Jaane Tu... Ya Jaane Na,Abbas Tyrewala,"Comedies, International Movies, Music & Musicals",Movie,147 min
d32,Weed the People,Abby Epstein,Documentaries,Movie,94 min
d33,Blue Is the Warmest Color,Abdellatif Kechiche,"Dramas, Independent Movies, International Movies",Movie,180 min
d34,Convict,Abdul Aziz Hashad,"Dramas, International Movies",Movie,97 min
d35,The Tambour of Retribution,Abdulaziz Alshlahei,"Dramas, International Movies, Romantic Movies",Movie,91 min
d36,"Sincerely Yours, Dhaka",Abdullah Al Noor,"Comedies, Dramas, Independent Movies",Movie,136 min
d37,Welcome to New York,Abel Ferrara,"Dramas, Independent Movies",Movie,108 min
d38,Ittefaq,Abhay Chopra,"Dramas, International Movies, Thrillers",Movie,105 min
d39,Ani... Dr. Kashinath Ghanekar,Abhijeet Deshpande,"Dramas, International Movies",Movie,157 min
d40,Rakkhosh,Abhijit Kokate,"Horror Movies, Independent Movies, International Movies",Movie,116 min
d41,Thackeray (Hindi),Abhijit Panse,"Dramas, International Movies",Movie,135 min
d42,Thackeray (Marathi),Abhijit Panse,"Dramas, International Movies",Movie,135 min
d43,X: Past Is Present,Abhinav Shiv Tiwari,"Dramas, Independent Movies, International Movies",Movie,105 min
d44,Delhi Belly,Abhinay Deo,"Action & Adventure, Comedies, International Movies",Movie,101 min
d45,Game,Abhinay Deo,"International Movies, Thrillers",Movie,135 min
d46,Force 2,Abhinay Deo,"Action & Adventure, International Movies",Movie,123 min
d47,Ishqiya,Abhishek Chaubey,"Comedies, International Movies, Romantic Movies",Movie,115 min
d48,Udta Punjab,Abhishek Chaubey,"Dramas, International Movies",Movie,146 min
d49,Ankahi Kahaniya,Abhishek Chaubey,"Dramas, Independent Movies, International Movies",Movie,111 min
d50,Ray,Abhishek Chaubey,"International TV Shows, TV Dramas, TV Mysteries",TV Show,1 Season
d51,Dedh Ishqiya,Abhishek Chaubey,"Comedies, Dramas, International Movies",Movie,146 min
d52,Fitoor,Abhishek Kapoor,"Dramas, International Movies, Romantic Movies",Movie,124 min
d53,Kai Po Che!,Abhishek Kapoor,"Dramas, International Movies, Sports Movies",Movie,120 min
d54,Rock On!!,Abhishek Kapoor,"Dramas, International Movies, Music & Musicals",Movie,139 min
d55,Phullu,Abhishek Saxena,"Dramas, Independent Movies, International Movies",Movie,96 min
d56,Parmanu: The Story of Pokhran,Abhishek Sharma,"Dramas, International Movies",Movie,124 min
d57,The Zoya Factor,Abhishek Sharma,"Comedies, Dramas, International Movies",Movie,135 min
d58,The Shaukeens,Abhishek Sharma,"Comedies, International Movies, Music & Musicals",Movie,123 min
d59,2 States,Abhishek Varman,"Comedies, Dramas, International Movies",Movie,143 min
d60,Indoo Ki Jawani,Abir Sengupta,"Action & Adventure, Comedies, International Movies",Movie,115 min
d61,Day of Destiny,Abosi Ogba,"Children & Family Movies, Dramas, International Movies",Movie,110 min
d62,يوم الدين,Abu Bakr Shawky,"Dramas, Independent Movies, International Movies",Movie,97 min
d63,A Man For The Week End,Achille Brice,"Comedies, Dramas, International Movies",Movie,95 min
d64,Quarantine Tales,Aco Tenriyagelli,"International TV Shows, TV Comedies, TV Dramas",TV Show,1 Season
d65,Standoff,Adam Alleca,Action & Adventure,Movie,86 min
d66,Freaks,Adam B. Stein,"Independent Movies, Sci-Fi & Fantasy, Thrillers",Movie,105 min
d67,Alt-Right: Age of Rage,Adam Bhala Lough,Documentaries,Movie,106 min
d68,Human Nature,Adam Bolt,Documentaries,Movie,95 min
d69,Shelby American,Adam Carolla,"Documentaries, Sports Movies",Movie,119 min
d70,The 24 Hour War,Adam Carolla,"Documentaries, Sports Movies",Movie,100 min
d71,Uppity: The Willy T. Ribbs Story,Adam Carolla,"Documentaries, Sports Movies",Movie,106 min
d72,Outlawed,Adam Collins,Action & Adventure,Movie,102 min
d73,Forbidden Games: The Justin Fashanu Story,Adam Darke,"Documentaries, International Movies, LGBTQ Movies",Movie,81 min
d74,14 Minutes from Earth,Adam Davis,Documentaries,Movie,84 min
d75,Furthest Witness,Adam Del Giudice,"Dramas, Thrillers",Movie,88 min
d76,1 Chance 2 Dance,Adam Deyoe,"Dramas, Romantic Movies",Movie,89 min
d77,Anthony Jeselnik: Thoughts and Prayers,Adam Dubin,Stand-Up Comedy,Movie,59 min
d78,Holidays,Adam Egypt Mortimer,"Comedies, Horror Movies",Movie,106 min
d79,Spivak,Adam Larson Broder,"Comedies, Independent Movies",Movie,92 min
d80,Tramps,Adam Leon,"Dramas, Independent Movies, Romantic Movies",Movie,83 min
d81,Backcountry,Adam MacDonald,"Horror Movies, Independent Movies, Thrillers",Movie,92 min
d82,Beneath the Leaves,Adam Marino,"Independent Movies, Thrillers",Movie,90 min
d83,Step Brothers,Adam McKay,Comedies,Movie,98 min
d84,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,"Action & Adventure, Comedies, Sports Movies",Movie,108 min
d85,The Other Guys,Adam McKay,"Action & Adventure, Comedies",Movie,108 min
d86,Band of Robbers,Adam Nee,"Action & Adventure, Comedies, Independent Movies",Movie,95 min
d87,For the Love of Spock,Adam Nimoy,Documentaries,Movie,112 min
d88,IBOY,Adam Randall,"International Movies, Sci-Fi & Fantasy, Thrillers",Movie,91 min
d89,Intrusion,Adam Salky,Thrillers,Movie,94 min
d90,Restless Creature: Wendy Whelan,Adam Schlesinger,Documentaries,Movie,94 min
d91,Hairspray,Adam Shankman,"Children & Family Movies, Comedies, Music & Musicals",Movie,116 min
d92,A Walk to Remember,Adam Shankman,"Dramas, Romantic Movies",Movie,102 min
d93,Bedtime Stories,Adam Shankman,"Children & Family Movies, Comedies",Movie,100 min
d94,I Am Sun Mu,Adam Sjöberg,"Documentaries, International Movies",Movie,88 min
d95,Trespass Against Us,Adam Smith,Dramas,Movie,100 min
d96,Death Note,Adam Wingard,"Horror Movies, Thrillers",Movie,100 min
d97,Barbie in A Mermaid Tale,Adam Wood,Children & Family Movies,Movie,74 min
d98,Shuddhi,Adarsh Eshwarappa,"Dramas, International Movies, Thrillers",Movie,115 min
d99,The Delivery Boy,Adekunle Nodash Adejuyigbe,"International Movies, Thrillers",Movie,67 min
d100,Shopkins: Wild,Adele K. Thomas,Movies,Movie,75 min
d101,Deep,Adirek Wattaleela,"Dramas, International Movies, Thrillers",Movie,101 min
d102,Bangkok Traffic (Love) Story,Adisorn Tresirikasem,"Comedies, International Movies, Romantic Movies",Movie,126 min
d103,Tottaa Pataaka Item Maal,Aditya Kripalani,"Dramas, Independent Movies, International Movies",Movie,107 min
d104,Tikli and Laxmi Bomb,Aditya Kripalani,"Dramas, International Movies",Movie,151 min
d105,Mauli,Aditya Sarpotdar,"Action & Adventure, Dramas, International Movies",Movie,136 min
d106,Satrangi Re,Aditya Sarpotdar,"Dramas, International Movies, Music & Musicals",Movie,150 min
d107,Jonaki,Aditya Vikram Sengupta,"Dramas, Independent Movies, International Movies",Movie,96 min
d108,Haunted: Latin America,Adrián García Bogliano,"International TV Shows, Reality TV, Spanish-Language TV Shows",TV Show,1 Season
d109,Withdrawn,Adrian Murray,"Dramas, Independent Movies",Movie,74 min
d110,All Because of You,Adrian Teh,"Action & Adventure, Comedies, International Movies",Movie,102 min
d111,Wira,Adrian Teh,"Action & Adventure, Dramas, International Movies",Movie,108 min
d112,Paskal,Adrian Teh,"Action & Adventure, Dramas, International Movies",Movie,115 min
d113,Big Stone Gap,Adriana Trigiani,"Comedies, Romantic Movies",Movie,103 min
d114,Wave of Cinema: 90's Generation,Adriano Rudiman,"Documentaries, International Movies, Music & Musicals",Movie,51 min
d115,Wave of Cinema: Filosofi Kopi,Adriano Rudiman,"Documentaries, International Movies, Music & Musicals",Movie,64 min
d116,Wave of Cinema: One Day We'll Talk About Today,Adriano Rudiman,"Documentaries, International Movies, Music & Musicals",Movie,71 min
d117,Fary : Hexagone,Adrien Lagier,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",TV Show,2 Seasons
d118,Secret Superstar,Advait Chandan,"Dramas, International Movies, Music & Musicals",Movie,150 min
d119,All About Love,Adze Ugah,"Dramas, International Movies, Romantic Movies",Movie,79 min
d120,Slay,Adze Ugah,"Comedies, International Movies, Romantic Movies",Movie,86 min
d121,10 Days in Sun City,Adze Ugah,"Comedies, International Movies, Romantic Movies",Movie,87 min
d122,Dukhtar,Afia Nathaniel,"Dramas, Independent Movies, International Movies",Movie,93 min
d123,Stronger Than the World,Afonso Poyart,"Action & Adventure, Dramas, International Movies",Movie,123 min
d124,Because of Soccer,Agasyah Karim,"Comedies, Dramas, International Movies",Movie,75 min
d125,Dark Chocolate (Bengali Version),Agnidev Chatterjee,"Dramas, International Movies, Thrillers",Movie,91 min
d126,Uncertain Glory,Agustí Villaronga,"Dramas, International Movies",Movie,116 min
d127,Harry & Bunnie,Ah Loong,"Kids'' TV, TV Comedies",TV Show,1 Season
d128,John Day,Ahishor Solomon,"International Movies, Thrillers",Movie,125 min
d129,Wild Dog,Ahishor Solomon,"Action & Adventure, International Movies",Movie,126 min
d130,My Sleeping Lover,Ahmad El-Badri,"Comedies, International Movies",Movie,93 min
d131,Omar & Salma 2,Ahmad El-Badri,"Comedies, International Movies",Movie,101 min
d132,A Mission in an Old Movie,Ahmad El-Badri,"Comedies, International Movies",Movie,98 min
d133,The Player,Ahmad El-Badri,"Comedies, International Movies",Movie,110 min
d134,Love Station,Ahmad Samir Farag,"Comedies, International Movies, Romantic Movies",Movie,97 min
d135,Mr. Romantic,Ahmed Al-Badry,"Comedies, International Movies, Romantic Movies",Movie,97 min
d136,Game Over,Ahmed Al-Badry,"Comedies, International Movies, Romantic Movies",Movie,96 min
d137,The Republic of Imbaba,Ahmed Al-Badry,"Dramas, International Movies",Movie,90 min
d138,Monopoly (The Bank Of Luck),Ahmed El Gendy,"Comedies, International Movies",Movie,117 min
d139,The International Player,Ahmed Medhat,"Dramas, International Movies, Sports Movies",Movie,93 min
d140,Son Of Adam,Ahmed Nader Galal,"Dramas, International Movies, Thrillers",Movie,110 min
d141,الف مبروك,Ahmed Nader Galal,"Comedies, Dramas, International Movies",Movie,115 min
d142,Can’t Complain,Ahmed Nader Galal,"Comedies, International Movies, Romantic Movies",Movie,114 min
d143,We'll Be Right Back After The Break,Ahmed Nader Galal,"Action & Adventure, Comedies, International Movies",Movie,106 min
d144,The Dealer,Ahmed Saleh,"Action & Adventure, International Movies",Movie,124 min
d145,Back to Q82,Ahmed Siddiqui,"Comedies, International Movies",Movie,104 min
d146,Boushkash,Ahmed Yousry,"Comedies, International Movies",Movie,100 min
d147,Freej Al Taibeen,Ahmed Zain,"Comedies, Dramas, International Movies",Movie,99 min
d148,Uncle Naji in UAE,Ahmed Zain,"Comedies, International Movies",Movie,95 min
d149,Grandmother's Farm,Ahmed Zein,"Comedies, Horror Movies, International Movies",Movie,71 min
d150,Grandmother's Farm Part 2,Ahmed Zein,"Comedies, Horror Movies, International Movies",Movie,80 min
d151,Black Money Love,Ahmet Katıksız,"Crime TV Shows, International TV Shows, TV Dramas",TV Show,1 Season
d152,The Larva Island Movie,Ahn Byoung-wook,"Children & Family Movies, Comedies",Movie,91 min
d153,Teefa in Trouble,Ahsan Rahim,"Action & Adventure, Comedies, International Movies",Movie,155 min
d154,Hamid,Aijaz Khan,"Dramas, Independent Movies, International Movies",Movie,108 min
d155,Cousins,Ainsley Gardiner,Dramas,Movie,99 min
d156,The Giant,Aitor Arregi,"Dramas, International Movies",Movie,115 min
d157,The Endless Trench,Aitor Arregi,"Dramas, Independent Movies, International Movies",Movie,148 min
d158,B.A. Pass,Ajay Bahl,"Dramas, Independent Movies, International Movies",Movie,99 min
d159,Vir Das: For India,Ajay Bhuyan,Stand-Up Comedy,Movie,76 min
d160,Phir Se,Ajay Bhuyan,"International Movies, Romantic Movies",Movie,118 min
d161,Encounter: The Killing,Ajay Phansekar,"Dramas, Independent Movies, International Movies",Movie,151 min
d162,Eeda,Ajithkumar,"Dramas, International Movies, Romantic Movies",Movie,153 min
d163,Santa Banta Pvt Ltd,Akashdeep,"Comedies, International Movies",Movie,111 min
d164,Day of Destiny,Akay Mason,"Children & Family Movies, Dramas, International Movies",Movie,110 min
d165,Elevator Baby,Akhigbe Ilozobhie,"Dramas, International Movies",Movie,84 min
d166,Forensic,Akhil Paul,"International Movies, Thrillers",Movie,132 min
d167,Modest Heroes: Ponoc Short Films Theatre,Akihiko Yamashita,"Anime Features, Children & Family Movies",Movie,54 min
d168,Vaya,Akin Omotoso,"Dramas, Independent Movies, International Movies",Movie,106 min
d169,Sol Levante,Akira Saitoh,"Action & Adventure, Anime Features, International Movies",Movie,5 min
d170,Stephanie,Akiva Goldsman,Horror Movies,Movie,86 min
d171,The Lonely Island Presents: The Unauthorized Bash Brothers Experience,Akiva Schaffer,"Comedies, Music & Musicals, Sports Movies",Movie,30 min
d172,"Michael Bolton''s Big, Sexy Valentine''s Day Special",Akiva Schaffer,"Comedies, Music & Musicals, Romantic Movies",Movie,54 min
d173,Hot Rod,Akiva Schaffer,"Comedies, Sports Movies",Movie,88 min
d174,Fireworks,Akiyuki Shinbo,"Anime Features, Romantic Movies",Movie,91 min
d175,Hamza's Suitcase,Akram Farouk,"Comedies, International Movies",Movie,79 min
d176,Pizza,Akshay Akkineni,"Horror Movies, International Movies, Thrillers",Movie,102 min
d177,Rudra: Secret of the Black Moon,Akshay Sanjeev Chavan,Children & Family Movies,Movie,87 min
d178,Rooting for Roona,Akshay Shankar,"Documentaries, International Movies",Movie,42 min
d179,Death to 2020,Al Campbell,Comedies,Movie,71 min
d180,The Unknown Saint,Alaa Eddine Aljem,"Comedies, Dramas, Independent Movies",Movie,100 min
d181,Under Suspicion: Uncovering the Wesphael Case,Alain Brunard,"Crime TV Shows, Docuseries, International TV Shows",TV Show,1 Season
d182,Red Dot,Alain Darborg,"International Movies, Thrillers",Movie,86 min
d183,Bon Cop Bad Cop 2,Alain Desrochers,"Action & Adventure, Comedies, International Movies",Movie,126 min
d184,Phantom Boy,Alain Gagnol,"Action & Adventure, Dramas, International Movies",Movie,85 min
d185,The Four Seasons,Alan Alda,"Comedies, Romantic Movies",Movie,108 min
d186,Quincy,Alan Hicks,"Documentaries, Music & Musicals",Movie,124 min
d187,The Pelican Brief,Alan J. Pakula,"Dramas, Thrillers",Movie,141 min
d188,Initial D,Alan Mak,"Action & Adventure, International Movies",Movie,109 min
d189,The Life of David Gale,Alan Parker,Dramas,Movie,130 min
d190,The Eddy,Alan Poul,"International TV Shows, TV Dramas",TV Show,1 Season
d191,A Little Chaos,Alan Rickman,"Dramas, Independent Movies, International Movies",Movie,113 min
d192,Tigertail,Alan Yang,Dramas,Movie,91 min
d193,Don Quixote: The Ingenious Gentleman of La Mancha,Alana Waksman,"Comedies, Independent Movies",Movie,83 min
d194,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,"Dramas, Independent Movies, International Movies",Movie,120 min
d195,Frozen Planet,Alastair Fothergill,"British TV Shows, Docuseries, International TV Shows",TV Show,1 Season
d196,David Attenborough: A Life on Our Planet,Alastair Fothergill,Documentaries,Movie,84 min
d197,The Blue Planet: A Natural History of the Oceans,Alastair Fothergill,"British TV Shows, Docuseries, International TV Shows",TV Show,1 Season
d198,Planet Earth: The Complete Collection,Alastair Fothergill,"British TV Shows, Docuseries, International TV Shows",TV Show,1 Season
d199,Move,Alban Teurlai,"Docuseries, International TV Shows",TV Show,1 Season
d200,Rocco,Alban Teurlai,"Documentaries, International Movies",Movie,103 min
d201,The Book of Eli,Albert Hughes,"Action & Adventure, Sci-Fi & Fantasy",Movie,118 min
d202,The Meaning of Monty Python,Albert Sharpe,Documentaries,Movie,60 min
d203,Hasta los dientes,Alberto Arnaut Estrada,"Documentaries, International Movies",Movie,109 min
d204,Smoke & Mirrors,Alberto Rodríguez,"Dramas, International Movies, Thrillers",Movie,123 min
d205,Boy and the World,Alê Abreu,Children & Family Movies,Movie,80 min
d206,Semana Santa,Alejandra Márquez Abella,"Dramas, International Movies",Movie,87 min
d207,The Lake House,Alejandro Agresti,"Dramas, Romantic Movies, Sci-Fi & Fantasy",Movie,98 min
d208,We're No Animals,Alejandro Agresti,"Comedies, Dramas, Independent Movies",Movie,94 min
d209,From Stress to Happiness,Alejandro De Grazia,"Documentaries, International Movies",Movie,58 min
d210,Esperando la carroza,Alejandro Doria,"Comedies, Cult Movies, International Movies",Movie,95 min
d211,Esperando La Carroza,Alejandro Doria,"Comedies, Cult Movies, International Movies",Movie,95 min
d212,Mi amigo Alexis,Alejandro Fernández Almendras,"Children & Family Movies, Comedies, Dramas",Movie,102 min
d213,Much Ado About Nothing,Alejandro Fernández Almendras,"Dramas, Independent Movies, International Movies",Movie,96 min
d214,Babel,Alejandro G. Iñárritu,"Dramas, Independent Movies",Movie,143 min
d215,Carmel: Who Killed Maria Marta?,Alejandro Hartmann,"Crime TV Shows, Docuseries, International TV Shows",TV Show,1 Season
d216,La Viuda Negra,Alejandro Lozano,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV Show,1 Season
d217,Verónica,Alejandro Martinez-Beltran,"Dramas, Independent Movies, International Movies",Movie,81 min
d218,Perdida,Alejandro Montiel,"Dramas, International Movies, Thrillers",Movie,104 min
d219,Intuition,Alejandro Montiel,"Dramas, International Movies, Thrillers",Movie,116 min
d220,Ratones Paranoicos: The Band that Rocked Argentina,Alejandro Ruax,"Documentaries, International Movies, Music & Musicals",Movie,76 min
d221,Dovlatov,Aleksey German,"Dramas, International Movies",Movie,126 min
d222,Secret Magic Control Agency,Aleksey Tsitsilin,"Children & Family Movies, Comedies",Movie,105 min
d223,My Amanda,Alessandra de Rossi,"Dramas, International Movies, Romantic Movies",Movie,90 min
d224,El sendero de la anaconda,Alessandro Angulo,"Documentaries, International Movies",Movie,74 min
d225,Los tiempos de Pablo Escobar,Alessandro Angulo,"Crime TV Shows, Docuseries, International TV Shows",TV Show,1 Season
d226,My Honor Was Loyalty,Alessandro Pepe,Dramas,Movie,115 min
d227,On My Skin,Alessio Cremonini,"Dramas, International Movies",Movie,100 min
d228,Fun Mom Dinner,Alethea Jones,"Comedies, International Movies",Movie,82 min
d229,The Trust,Alex Brewer,Thrillers,Movie,91 min
d230,Enter the Anime,Alex Burunova,"Documentaries, International Movies",Movie,59 min
d231,David Cross: Making America Great Again!,Alex Coletti,Stand-Up Comedy,Movie,73 min
d232,My Big Night,Álex de la Iglesia,"Comedies, International Movies, Music & Musicals",Movie,97 min
d233,The Bar,Álex de la Iglesia,"Comedies, Horror Movies, International Movies",Movie,102 min
d234,Alan Saldaña: Locked Up,Alex Díaz,Stand-Up Comedy,Movie,49 min
d235,Daniel Sosa: Maleducado,Alex Díaz,Stand-Up Comedy,Movie,55 min
d236,Alex Fernández: The Best Comedian in the World,Alex Díaz,Stand-Up Comedy,Movie,51 min
d237,Ex Machina,Alex Garland,"Dramas, Independent Movies, International Movies",Movie,108 min
d238,Sinatra: All or Nothing at All,Alex Gibney,Docuseries,TV Show,1 Season
d239,Stop at Nothing: The Lance Armstrong Story,Alex Holmes,"Documentaries, International Movies, Sports Movies",Movie,100 min
d240,S Is for Stanley,Alex Infascelli,"Documentaries, International Movies",Movie,82 min
d241,SPF-18,Alex Israel,"Dramas, Romantic Movies, Sports Movies",Movie,75 min
d242,Painted Faces,Alex Law,"Dramas, International Movies",Movie,108 min
d243,Paddleton,Alex Lehmann,"Comedies, Dramas, Independent Movies",Movie,89 min
d244,Blue Jay,Alex Lehmann,"Dramas, Independent Movies, Romantic Movies",Movie,81 min
d245,Asperger's Are Us,Alex Lehmann,Documentaries,Movie,83 min
d246,No Escape Room,Alex Merkin,Horror Movies,Movie,85 min
d247,House of the Witch,Alex Merkin,Horror Movies,Movie,86 min
d248,Last Breath,Alex Parkinson,"Documentaries, International Movies",Movie,86 min
d249,Carriers,Àlex Pastor,"Horror Movies, Sci-Fi & Fantasy, Thrillers",Movie,85 min
d250,The Occupant,Àlex Pastor,"Independent Movies, International Movies, Thrillers",Movie,104 min
d251,Knowing,Alex Proyas,"Sci-Fi & Fantasy, Thrillers",Movie,121 min
d252,The Crow,Alex Proyas,"Action & Adventure, Cult Movies, Sci-Fi & Fantasy",Movie,102 min
d253,Bennett's War,Alex Ranarivelo,"Dramas, Sports Movies",Movie,94 min
d254,Ibiza,Alex Richanbach,"Comedies, Romantic Movies",Movie,94 min
d255,Walking Out,Alex Smith,"Dramas, Independent Movies, Thrillers",Movie,96 min
d256,"Hello, Privilege. It''s Me, Chelsea",Alex Stapleton,Documentaries,Movie,65 min
d257,John Mulaney: Kid Gorgeous at Radio City,Alex Timbers,Stand-Up Comedy,Movie,65 min
d258,Ben Platt Live from Radio City Music Hall,Alex Timbers,Music & Musicals,Movie,85 min
d259,SMOSH: The Movie,Alex Winter,Comedies,Movie,83 min
d260,A Go! Go! Cory Carson Christmas,Alex Woo,Children & Family Movies,Movie,22 min
d261,A Go! Go! Cory Carson Summer Camp,Alex Woo,Children & Family Movies,Movie,21 min
d262,A Go! Go! Cory Carson Halloween,Alex Woo,Children & Family Movies,Movie,22 min
d263,Go! Go! Cory Carson: The Chrissy,Alex Woo,Children & Family Movies,Movie,42 min
d264,Go! Go! Cory Carson: Chrissy Takes the Wheel,Alex Woo,Children & Family Movies,Movie,61 min
d265,A Christmas Prince,Alex Zamm,"Children & Family Movies, Dramas, Romantic Movies",Movie,92 min
d266,Woody Woodpecker,Alex Zamm,"Children & Family Movies, Comedies",Movie,91 min
d267,Susanne Bartsch: On Top,Alexander Smith,"Documentaries, LGBTQ Movies",Movie,86 min
d268,Bombshell: The Hedy Lamarr Story,Alexandra Dean,Documentaries,Movie,89 min
d269,Horns,Alexandre Aja,"Dramas, Horror Movies, Sci-Fi & Fantasy",Movie,120 min
d270,Oxygen,Alexandre Aja,"Dramas, International Movies, Thrillers",Movie,102 min
d271,Nothing to Lose,Alexandre Avancini,"Dramas, Faith & Spirituality, International Movies",Movie,133 min
d272,Nothing to Lose 2,Alexandre Avancini,"Dramas, Faith & Spirituality, International Movies",Movie,97 min
d273,White Fang,Alexandre Espigares,"Children & Family Movies, Dramas",Movie,88 min
d274,Mune: Guardian of the Moon,Alexandre Heboyan,Children & Family Movies,Movie,85 min
d275,Couples Counseling,Alexandre Reinecke,"Comedies, Dramas, International Movies",Movie,88 min
d276,Dark Crimes,Alexandros Avranas,"Dramas, Thrillers",Movie,93 min
d277,JJ+E,Alexis Almström,"Dramas, International Movies, Romantic Movies",Movie,91 min
d278,Heroes: Silence and Rock & Roll,Alexis Morante,"Documentaries, International Movies, Music & Musicals",Movie,95 min
d279,Alejandro Sanz: What I Was Is What I Am,Alexis Morante,"Documentaries, International Movies, Music & Musicals",Movie,102 min
d280,Camarón: The Film,Alexis Morante,"Documentaries, International Movies, Music & Musicals",Movie,105 min
d281,Schulz Saves America,Alexx Media,"Stand-Up Comedy & Talk Shows, TV Comedies",TV Show,1 Season
d282,Love Jacked,Alfons Adetuyi,"Comedies, International Movies, Romantic Movies",Movie,94 min
d283,Like Water for Chocolate,Alfonso Arau,"Classic Movies, Dramas, International Movies",Movie,105 min
d284,The Silent War,Alfonso Cortés-Cavanillas,"Dramas, International Movies, Thrillers",Movie,122 min
d285,Solo Con Tu Pareja,Alfonso Cuarón,"Comedies, Independent Movies, International Movies",Movie,94 min
d286,Y Tu Mamá También,Alfonso Cuarón,"Dramas, Independent Movies, International Movies",Movie,106 min
d287,ROMA,Alfonso Cuarón,"Dramas, Independent Movies, International Movies",Movie,135 min
d288,Pocoyo & The Space Circus,Alfonso Rodríguez,Movies,Movie,25 min
d289,Acapulco La vida va,Alfonso Serrano Maturino,"Comedies, Dramas, International Movies",Movie,89 min
d290,Monster High: Fright On!,Alfred Gimeno,Children & Family Movies,Movie,46 min
d291,Hajwala: The Missing Engine,Ali Bin Matar,"Action & Adventure, Dramas, International Movies",Movie,97 min
d292,The Worthy,Ali F. Mostafa,"International Movies, Sci-Fi & Fantasy, Thrillers",Movie,99 min
d293,From A to B,Ali F. Mostafa,"Comedies, Dramas, International Movies",Movie,104 min
d294,Six Windows in the Desert,Ali Kalthami,TV Shows,TV Show,1 Season
d295,The Beach Loafer,Ali Ragab,"Comedies, International Movies",Movie,112 min
d296,Karkar,Ali Ragab,"Comedies, International Movies",Movie,107 min
d297,Pettersson and Findus 2,Ali Samadi Ahadi,"Children & Family Movies, Comedies",Movie,82 min
d298,Jessica Darling's It List,Ali Scher,"Children & Family Movies, Comedies",Movie,80 min
d299,Seaspiracy,Ali Tabrizi,Documentaries,Movie,90 min
d300,Hokkabaz,Ali Taner Baltacı,"Comedies, Dramas, International Movies",Movie,118 min
d301,Hadi İnşallah,Ali Taner Baltacı,"Comedies, International Movies, Romantic Movies",Movie,95 min
d302,Stunt School,Ali Yorgancıoğlu,"Children & Family Movies, Comedies, International Movies",Movie,95 min
d303,Out of my league,Alice Filippi,"Comedies, Dramas, International Movies",Movie,92 min
d304,Death to 2020,Alice Mathias,Comedies,Movie,71 min
